Job Title,Location,Education Level,YearsExperience,Salary
UX Designer,New York,Bachelor's,1,66600
Software Engineer,Remote,Bachelor's,9,89300
DevOps Engineer,San Francisco,High School,2,95400
Systems Engineer,San Francisco,Bachelor's,5,90500
Network Engineer,New York,Bachelor's,6,73400
UX Designer,Remote,Bachelor's,1,48300
QA Engineer,New York,Bachelor's,2,63700
Database Administrator,Bengaluru,Bachelor's,2,34700
Software Engineer,New York,Bachelor's,2,85300
Data Scientist,San Francisco,High School,2,95600
Systems Engineer,Toronto,Bachelor's,2,60500
Database Administrator,New York,Master's,6,91000
QA Engineer,San Francisco,Bachelor's,12,104400
Network Engineer,Remote,Bachelor's,6,62900
Network Engineer,Toronto,High School,1,40600
HR Specialist,San Francisco,Bachelor's,3,67600
Marketing Manager,Toronto,Bachelor's,1,52900
DevOps Engineer,New York,Master's,2,109600
Business Analyst,Remote,High School,6,55300
HR Specialist,London,Master's,1,53200
DevOps Engineer,San Francisco,Master's,0,113100
Systems Engineer,London,High School,1,56200
Data Scientist,New York,Master's,7,123700
HR Specialist,New York,Bachelor's,5,60600
Product Manager,London,Master's,8,145300
Database Administrator,London,Bachelor's,0,62300
Software Engineer,Remote,High School,0,57100
Marketing Manager,Toronto,Bachelor's,3,58600
Data Scientist,Bengaluru,Bachelor's,2,45100
Data Scientist,Toronto,High School,2,62800
DevOps Engineer,Remote,Master's,6,105400
Database Administrator,London,Master's,2,75200
Database Administrator,San Francisco,Master's,8,114700
Network Engineer,New York,Master's,2,72900
Software Engineer,Remote,Bachelor's,8,83100
Systems Engineer,London,Master's,4,84300
Data Scientist,San Francisco,Bachelor's,3,103800
Data Scientist,Bengaluru,Bachelor's,4,48000
DevOps Engineer,Bengaluru,Bachelor's,1,48300
UX Designer,London,PhD,0,71800
Business Analyst,London,Bachelor's,4,60800
Product Manager,San Francisco,Bachelor's,3,129700
UX Designer,London,Bachelor's,5,71900
Network Engineer,Remote,Bachelor's,7,67100
UX Designer,New York,Bachelor's,2,72900
Database Administrator,Remote,Bachelor's,6,74200
Business Analyst,Toronto,High School,3,49300
Network Engineer,San Francisco,Bachelor's,4,79100
Business Analyst,Bengaluru,Bachelor's,4,31300
HR Specialist,London,Bachelor's,1,49700
UX Designer,Remote,Bachelor's,6,64500
QA Engineer,San Francisco,Bachelor's,2,68300
UX Designer,London,Master's,3,75700
Software Engineer,San Francisco,Bachelor's,5,108900
Software Engineer,London,Bachelor's,3,78700
HR Specialist,London,Master's,5,66700
Data Scientist,San Francisco,Bachelor's,8,124800
Database Administrator,Remote,Master's,5,73800
Product Manager,San Francisco,Bachelor's,5,142500
UX Designer,Bengaluru,High School,5,31600
HR Specialist,Remote,High School,5,41300
Marketing Manager,San Francisco,Bachelor's,0,72000
DevOps Engineer,San Francisco,Master's,2,117300
Systems Engineer,Remote,Master's,7,84400
QA Engineer,Toronto,Bachelor's,1,47700
DevOps Engineer,Remote,Bachelor's,1,71100
Database Administrator,Bengaluru,PhD,7,51900
Database Administrator,Bengaluru,Bachelor's,4,41800
Product Manager,San Francisco,Bachelor's,0,111900
Business Analyst,Toronto,Master's,1,54400
Marketing Manager,New York,Master's,4,86200
Software Engineer,New York,PhD,1,93900
Business Analyst,Remote,Master's,1,51400
Business Analyst,Remote,Bachelor's,5,57400
HR Specialist,Toronto,Bachelor's,5,47600
Data Scientist,Bengaluru,PhD,4,55100
HR Specialist,Toronto,Master's,7,63700
Marketing Manager,Toronto,Master's,0,53200
DevOps Engineer,Toronto,Master's,5,98800
Software Engineer,Remote,Master's,6,98900
Network Engineer,New York,Master's,8,97000
UX Designer,Toronto,Master's,3,66700
DevOps Engineer,Remote,Bachelor's,4,81400
Product Manager,New York,High School,11,133900
DevOps Engineer,Bengaluru,Bachelor's,3,48500
Business Analyst,Bengaluru,High School,3,31200
Software Engineer,Remote,Bachelor's,9,87400
Network Engineer,London,Bachelor's,2,61400
QA Engineer,San Francisco,High School,11,93400
QA Engineer,New York,Bachelor's,0,56800
UX Designer,London,Master's,3,69100
UX Designer,Toronto,High School,6,61100
Database Administrator,San Francisco,Bachelor's,3,82800
Business Analyst,London,Bachelor's,9,76300
Business Analyst,Toronto,Bachelor's,5,61200
QA Engineer,New York,Bachelor's,0,54800
Database Administrator,London,Bachelor's,3,74400
Marketing Manager,New York,High School,0,53200
Data Scientist,London,Bachelor's,0,70800
DevOps Engineer,San Francisco,Bachelor's,3,113100
Software Engineer,San Francisco,Bachelor's,4,107800
Database Administrator,New York,Master's,1,77800
Data Scientist,Remote,High School,3,67500
Marketing Manager,New York,Bachelor's,4,77000
QA Engineer,San Francisco,Bachelor's,2,75600
Business Analyst,Remote,Bachelor's,4,55800
Marketing Manager,Toronto,PhD,3,72500
Business Analyst,London,Bachelor's,2,59500
QA Engineer,Toronto,Bachelor's,7,65100
HR Specialist,San Francisco,Master's,6,83400
QA Engineer,Remote,Bachelor's,6,56400
Network Engineer,San Francisco,Master's,4,90700
Network Engineer,London,Bachelor's,2,64200
